timestamp,price_usd,volume_btc,market_cap_usd,transactions,mining_difficulty,hash_rate_ths,fees_usd,sentiment,exchange
2020-01-01 03:28:39.179602,31256.28,71.612,64056704975.54,8343,14577214671825.96,223315.04,388.53,Neutral,Coinbase
2020-01-01 08:07:59.141129,31138.53,20.0724,348931335356.78,6620,11528016441494.72,225859.6,298.62,Neutral,Bitfinex
2020-01-01 11:01:17.036897,24912.14,31.9738,53281871238.55,3232,28682945680794.96,75930.34,167.16,Bullish,Binance
2020-01-01 15:50:28.677463,45901.45,8.2445,547866742284.06,3528,28447473847405.63,102972.23,393.59,Bearish,Kraken
2020-01-01 15:52:56.091161,59424.67,91.6159,709382294677.88,5190,4812941152012.14,232355.18,113.78,Neutral,Binance
2020-01-01 17:25:02.359203,52196.63,54.4295,260972125013.08,8013,18091743802027.72,163879.68,404.37,Neutral,Coinbase
2020-01-01 21:50:55.170309,26444.3,34.2499,94055647564.02,1404,15640962572896.22,131181.13,484.85,Neutral,Kraken
2020-01-02 01:40:51.708636,61152.56,39.0702,1414505278031.88,2018,25469470583856.74,50358.97,223.24,Bearish,Coinbase
2020-01-02 06:46:40.879328,67758.9,5.3639,1423749097222.08,5816,14547910017031.76,86099.01,457.58,Bearish,Coinbase
2020-01-02 11:02:21.534520,45721.98,57.3709,1127966302415.17,9504,4819900557097.88,151153.33,239.03,Neutral,Kraken
2020-01-02 13:10:06.713403,37854.31,51.2772,970946248366.52,8059,5325381714450.91,148581.37,481.19,Neutral,Binance
2020-01-03 13:38:41.824680,45445.22,38.7996,844907110842.32,7867,6567761681750.06,56550.44,47.08,Bearish,Binance
2020-01-03 21:25:33.420443,21407.73,14.0692,1487676079077.29,8138,22761916060886.75,198051.02,261.36,Neutral,Coinbase
2020-01-04 00:18:00.751829,19715.38,81.7146,1231143178400.14,8961,13286562700605.67,173766.85,240.08,Neutral,Coinbase
2020-01-04 04:38:54.232011,49565.38,52.4022,728295217377.06,5180,23111226876046.36,71022.47,98.86,Bearish,Bitfinex
2020-01-04 18:31:16.809357,48138.72,4.2933,440697927432.85,6121,6028734493627.84,70816.44,231.13,Bullish,Binance
2020-01-04 18:37:57.695983,21944.94,94.0753,247847705855.01,1015,6737084646182.59,92332.86,167.55,Bearish,Coinbase
2020-01-05 04:32:49.881406,45609.78,85.6164,949931342290.11,491,28141616318564.72,93425.81,187.17,Neutral,Kraken
2020-01-05 06:11:17.368176,34899.87,50.5591,764285333353.95,5482,21920190494162.03,130942.08,103.67,Bearish,Bitfinex
2020-01-05 06:13:32.328378,28711.83,83.5966,1394967466873.49,5170,9587351379096.24,142870.72,270.78,Neutral,Binance
2020-01-05 17:27:03.511023,66346.52,41.355,1284148745577.44,7043,15785420836961.06,132431.23,205.69,Bullish,Binance
2020-01-05 19:57:54.338524,14897.8,35.6243,1139611544272.59,4680,16110623090334.6,122167.45,245.09,Bearish,Kraken
2020-01-06 09:33:33.121333,66519.49,74.5942,1437318049807.38,7464,3750353718133.18,116373.21,146.64,Bearish,Coinbase
2020-01-06 13:19:02.426637,45261.67,9.7315,352860092354.07,8709,29625551537560.79,203513.74,32.73,Bearish,Coinbase
2020-01-06 18:38:15.136787,17630.87,33.8109,499621734116.71,1213,14386671295452.89,138536.7,211.63,Neutral,Kraken
2020-01-07 01:42:18.562410,20365.44,48.8261,1178596537995.33,5643,15457745620979.7,147417.13,241.83,Bearish,Kraken
2020-01-08 02:29:10.859276,19201.89,62.7644,339432621783.5,3365,7593684577106.26,78443.93,144.24,Bullish,Coinbase
2020-01-08 19:07:16.259219,34711.14,67.6799,236180545835.9,4268,13719355734469.39,241015.85,226.7,Bearish,Coinbase
2020-01-09 00:28:28.379268,48683.2,38.1133,1228784168384.8,3999,27821268907962.2,115479.05,219.67,Bearish,Coinbase
2020-01-09 03:05:25.207650,13373.46,51.3571,1402314028833.59,3778,24857292162550.08,87967.97,249.65,Bearish,Coinbase
2020-01-09 03:34:13.606726,51304.14,3.7879,1237997277361.96,8225,14384315134908.46,110009.92,206.24,Bullish,Bitfinex
2020-01-09 07:18:24.678642,21071.26,35.7705,748398450563.13,8712,9990737567767.25,76970.02,42.9,Bullish,Kraken
2020-01-09 08:22:51.202904,16110.84,57.2608,119163167668.19,69,28006096200649.94,217255.07,415.74,Neutral,Coinbase
2020-01-09 11:38:57.913055,23844.08,29.7735,632561975382.78,3429,29331299158588.35,100901.42,216.22,Bullish,Bitfinex
2020-01-09 13:26:32.160446,44306.34,59.5848,72969786548.18,1749,1681481784823.43,224269.98,405.48,Neutral,Binance
2020-01-09 20:44:31.637058,48784.44,36.4002,310896223156.72,3791,9565950260085.46,223712.16,383.06,Neutral,Bitfinex
2020-01-09 23:39:16.623313,53852.05,24.2401,701887972058.33,2313,9932601395115.2,62575.02,44.03,Bearish,Binance
2020-01-10 06:02:25.831444,35200.66,88.6738,1197225262537.97,6303,18660414785095.5,118633.33,341.84,Bearish,Bitfinex
2020-01-10 07:17:28.350851,37034.95,50.3079,116428235266.82,312,18711709307386.53,154335.57,175.98,Bearish,Binance
2020-01-10 11:03:54.465159,32213.93,27.1811,1318474778015.16,5985,20654754727038.33,129449.08,159.77,Bearish,Bitfinex
2020-01-10 11:13:12.088289,52563.33,53.8522,654325814374.37,5241,6985594188389.84,177167.77,5.89,Bullish,Bitfinex
2020-01-10 11:36:31.438479,36668.8,75.1179,519925207189.14,3098,7524034964330.16,111040.65,271.3,Bullish,Coinbase
2020-01-10 14:39:08.701795,31810.87,64.4466,263816166142.41,50,1238622165861.89,92344.24,164.54,Neutral,Bitfinex
2020-01-10 15:37:36.756458,54536.28,40.5285,1408243608055.4,8548,17532473976126.98,160319.09,196.92,Bullish,Binance
2020-01-10 15:59:50.754275,18471.94,98.8762,41951947950.97,3248,1574510208000.87,99526.35,415.91,Bearish,Bitfinex
2020-01-10 21:48:53.565208,12355.18,38.073,1232796727158.81,5089,4086215489130.82,84995.7,448.99,Neutral,Bitfinex
2020-01-11 01:17:57.112744,53236.98,8.8547,1270975894539.6,3235,6621552079532.66,212306.31,9.14,Bearish,Bitfinex
2020-01-11 02:10:53.326974,42538.0,98.9936,54699557768.31,1506,19969490594802.51,57709.49,196.46,Neutral,Kraken
2020-01-11 06:20:22.914223,38880.65,16.4738,1476105299005.73,6788,27802897140204.46,175545.51,271.11,Bullish,Coinbase
2020-01-11 10:03:56.282344,16170.56,88.0303,1090444047980.55,3947,21618581214088.83,104093.27,339.97,Neutral,Binance
2020-01-11 10:19:13.441406,45197.44,18.1408,2636219993.41,1448,15363952618713.49,118795.8,106.49,Neutral,Coinbase
2020-01-11 13:03:51.575436,35029.86,80.0178,74981710755.55,5793,24018707854428.99,156106.72,324.44,Bullish,Coinbase
2020-01-11 14:41:30.589558,56531.66,94.9542,417888759889.11,7325,18213848729514.49,73104.05,425.84,Bearish,Coinbase
