record_id,site_name,material,quantity_tons,grade_percent,extraction_date,operator,status,depth_meter,cost_usd
1,Tambang C,Emas,379.9,3.78,2023-01-01 00:28:49.600518,PT Mineral Nusantara,Reklamasi,160.2,36957.17
2,Tambang D,Tembaga,339.58,1.33,2021-08-25 09:04:16.633496,PT Emas Sejahtera,Reklamasi,46.6,43479.24
3,Tambang A,Emas,184.39,2.06,2022-05-30 21:19:39.160202,PT Tambang Jaya,Aktif,182.1,6201.64
4,Tambang C,Tembaga,611.19,3.48,2023-07-23 08:37:06.766178,PT Mineral Nusantara,Non-Aktif,63.0,56899.34
5,Tambang C,Tembaga,481.86,2.67,2023-08-01 19:44:55.340023,PT Tambang Jaya,Reklamasi,277.8,1199.06
6,Tambang D,Emas,867.04,3.82,2021-08-22 12:26:00.006407,PT Mineral Nusantara,Aktif,267.7,15966.12
7,Tambang A,Batubara,41.79,4.83,2020-12-15 08:30:58.825124,PT Mineral Nusantara,Non-Aktif,167.9,15549.0
8,Tambang A,Tembaga,647.43,1.02,2023-06-04 09:15:09.259229,PT Mineral Nusantara,Aktif,140.3,69067.9
9,Tambang C,Emas,765.32,3.69,2022-03-31 20:52:09.258677,PT Mineral Nusantara,Reklamasi,39.8,49103.28
10,Tambang B,Nikel,761.89,1.54,2022-12-31 07:52:06.048938,PT Mineral Nusantara,Reklamasi,248.8,83767.59
11,Tambang C,Emas,887.21,2.37,2022-06-17 03:47:31.294301,PT Mineral Nusantara,Aktif,120.0,27220.02
12,Tambang C,Nikel,731.74,0.65,2022-11-14 12:43:52.839036,PT Mineral Nusantara,Non-Aktif,81.4,21846.86
13,Tambang C,Tembaga,928.53,1.11,2020-06-25 11:33:12.252129,PT Emas Sejahtera,Reklamasi,298.6,80486.61
14,Tambang C,Emas,339.33,1.94,2020-06-26 20:13:30.552830,PT Emas Sejahtera,Aktif,203.8,44976.2
15,Tambang D,Emas,508.18,2.04,2023-07-28 21:55:46.819283,PT Emas Sejahtera,Aktif,31.4,28148.83
16,Tambang A,Nikel,23.94,4.55,2020-06-03 19:04:29.599667,PT Tambang Jaya,Non-Aktif,242.4,42407.72
17,Tambang D,Emas,16.89,3.84,2024-06-04 18:23:24.304404,PT Mineral Nusantara,Non-Aktif,227.6,43102.08
18,Tambang D,Emas,247.73,4.87,2022-06-30 12:42:28.455775,PT Emas Sejahtera,Reklamasi,126.3,57638.66
19,Tambang D,Tembaga,109.8,3.2,2024-10-19 22:27:32.505087,PT Emas Sejahtera,Non-Aktif,45.9,4728.97
20,Tambang C,Emas,267.61,1.59,2023-10-28 02:18:13.377790,PT Emas Sejahtera,Non-Aktif,154.3,25546.95
21,Tambang B,Batubara,185.27,1.97,2020-04-03 13:21:17.308390,PT Mineral Nusantara,Reklamasi,231.4,47222.51
22,Tambang A,Nikel,38.23,1.94,2022-08-10 01:08:48.417034,PT Mineral Nusantara,Aktif,32.0,54687.01
23,Tambang B,Emas,910.21,1.97,2023-08-07 16:11:50.499573,PT Tambang Jaya,Reklamasi,57.4,16716.8
24,Tambang D,Nikel,18.14,3.53,2024-07-13 15:09:44.571895,PT Tambang Jaya,Reklamasi,189.5,20168.62
25,Tambang D,Nikel,738.72,2.89,2024-06-03 16:38:23.453966,PT Mineral Nusantara,Non-Aktif,172.3,73032.69
26,Tambang B,Nikel,160.63,2.23,2023-10-03 17:57:20.052053,PT Tambang Jaya,Non-Aktif,272.5,78770.16
27,Tambang B,Emas,913.11,1.17,2023-01-02 19:24:49.705139,PT Emas Sejahtera,Aktif,246.3,8439.11
28,Tambang B,Emas,893.87,0.6,2021-01-02 14:38:11.930662,PT Tambang Jaya,Non-Aktif,276.5,99017.93
29,Tambang D,Nikel,657.36,1.48,2022-02-24 13:22:10.712621,PT Emas Sejahtera,Aktif,145.1,43879.26
30,Tambang D,Batubara,675.51,0.98,2022-09-22 21:53:03.152375,PT Tambang Jaya,Aktif,238.5,58989.34
31,Tambang A,Nikel,15.29,4.03,2024-05-09 04:59:12.464973,PT Emas Sejahtera,Aktif,24.1,59771.44
32,Tambang A,Batubara,985.02,1.01,2023-03-26 23:51:15.508337,PT Tambang Jaya,Reklamasi,95.4,35256.15
33,Tambang D,Nikel,879.05,3.76,2023-05-16 00:48:31.958793,PT Tambang Jaya,Non-Aktif,196.8,54934.27
34,Tambang B,Tembaga,896.16,2.24,2022-09-16 16:14:47.358084,PT Mineral Nusantara,Non-Aktif,231.5,58756.81
35,Tambang B,Nikel,662.65,0.83,2021-11-18 14:54:03.427953,PT Mineral Nusantara,Aktif,175.4,76315.52
36,Tambang A,Nikel,351.34,4.16,2020-09-20 19:08:37.201037,PT Emas Sejahtera,Non-Aktif,149.4,66517.45
37,Tambang D,Emas,894.71,3.11,2024-07-14 01:57:37.637021,PT Mineral Nusantara,Aktif,77.6,45221.03
38,Tambang A,Batubara,298.6,1.56,2022-09-17 06:13:46.384655,PT Emas Sejahtera,Non-Aktif,60.5,19941.73
39,Tambang A,Tembaga,567.08,4.53,2020-04-29 02:27:45.087012,PT Mineral Nusantara,Reklamasi,263.9,3490.84
40,Tambang C,Batubara,108.73,0.7,2023-07-05 14:41:02.175680,PT Mineral Nusantara,Non-Aktif,51.2,65533.54
41,Tambang C,Tembaga,922.74,1.41,2023-04-28 12:52:36.005056,PT Emas Sejahtera,Aktif,136.2,48292.78
42,Tambang C,Nikel,149.36,3.88,2020-07-30 22:19:28.217407,PT Tambang Jaya,Reklamasi,267.7,96586.95
43,Tambang B,Emas,232.65,3.69,2021-04-16 21:21:30.251814,PT Emas Sejahtera,Non-Aktif,52.8,10733.37
44,Tambang D,Emas,562.55,1.8,2021-05-14 19:13:49.381144,PT Emas Sejahtera,Reklamasi,47.0,8189.7
45,Tambang D,Batubara,766.45,0.78,2021-08-07 01:02:35.333164,PT Emas Sejahtera,Aktif,210.8,18946.57
46,Tambang D,Emas,623.16,4.36,2020-05-03 04:06:29.439299,PT Mineral Nusantara,Aktif,106.2,38306.55
47,Tambang D,Batubara,239.81,1.91,2023-02-01 17:06:09.249927,PT Mineral Nusantara,Non-Aktif,136.4,18342.29
48,Tambang C,Batubara,10.93,1.38,2020-10-03 16:39:02.142207,PT Mineral Nusantara,Aktif,191.4,46920.76
49,Tambang B,Tembaga,759.58,2.82,2024-03-14 19:35:29.478130,PT Emas Sejahtera,Non-Aktif,119.9,34631.08
50,Tambang B,Batubara,985.36,4.6,2020-03-20 06:44:30.449891,PT Tambang Jaya,Aktif,242.0,99949.81
51,Tambang C,Tembaga,811.81,0.7,2020-04-14 12:18:41.489544,PT Tambang Jaya,Aktif,291.0,96703.61
52,Tambang B,Emas,465.6,3.95,2023-12-02 14:23:42.069023,PT Emas Sejahtera,Aktif,280.6,37116.77
53,Tambang C,Batubara,904.73,3.08,2024-02-29 09:55:22.479758,PT Emas Sejahtera,Non-Aktif,168.2,79417.85
54,Tambang D,Batubara,415.75,2.41,2024-09-17 07:00:12.394440,PT Tambang Jaya,Non-Aktif,112.9,24923.12
55,Tambang C,Nikel,529.68,3.85,2023-08-19 11:06:27.830552,PT Mineral Nusantara,Non-Aktif,135.8,6716.92
56,Tambang D,Batubara,482.36,4.85,2022-08-01 09:01:23.298150,PT Emas Sejahtera,Non-Aktif,105.7,5008.32
57,Tambang D,Batubara,453.15,1.53,2021-09-03 15:53:54.864014,PT Tambang Jaya,Aktif,138.1,3888.53
58,Tambang A,Nikel,777.44,1.15,2020-02-24 23:00:30.781466,PT Tambang Jaya,Reklamasi,13.8,73857.58
59,Tambang C,Nikel,531.5,4.61,2020-09-20 17:42:34.067833,PT Tambang Jaya,Non-Aktif,26.0,34880.04
60,Tambang A,Emas,323.55,3.51,2021-09-05 01:49:25.882258,PT Mineral Nusantara,Aktif,233.7,82559.66
61,Tambang C,Batubara,265.58,2.47,2020-05-04 05:54:01.726164,PT Tambang Jaya,Aktif,107.1,87509.56
62,Tambang C,Emas,47.37,3.08,2020-09-11 05:58:09.616474,PT Tambang Jaya,Non-Aktif,240.4,31245.02
63,Tambang A,Emas,587.36,3.86,2021-08-18 19:42:27.525800,PT Tambang Jaya,Non-Aktif,149.2,29625.22
64,Tambang A,Nikel,237.66,3.98,2024-01-05 15:54:34.988394,PT Emas Sejahtera,Aktif,243.7,31484.88
65,Tambang C,Tembaga,156.65,4.64,2021-07-27 07:36:04.153664,PT Emas Sejahtera,Non-Aktif,202.4,48069.42
66,Tambang B,Emas,657.29,2.42,2024-12-09 09:16:10.937946,PT Emas Sejahtera,Non-Aktif,68.3,2578.53
67,Tambang D,Tembaga,684.4,1.82,2023-03-15 21:01:59.078830,PT Tambang Jaya,Reklamasi,139.8,2073.43
68,Tambang A,Batubara,754.63,3.38,2021-02-28 15:52:00.218003,PT Tambang Jaya,Reklamasi,214.3,73812.12
69,Tambang D,Nikel,508.54,2.37,2024-06-24 15:20:57.973788,PT Mineral Nusantara,Non-Aktif,105.9,81012.63
