Usia,Transaksi,label,Gender
37,50,1,L
55,6,0,L
36,21,1,P
35,4,1,P
29,45,0,P
50,47,1,L
30,21,0,P
36,45,1,L
36,50,0,L
53,32,1,P
31,4,1,L
41,23,0,L
45,11,1,P
40,25,1,L
46,3,1,L
54,16,0,L
24,9,1,L
38,0,1,L
27,42,0,P
58,8,1,L
55,28,1,L
41,35,1,L
21,31,1,P
40,45,1,L
53,34,1,L
59,11,0,P
48,13,1,L
18,33,0,L
44,45,0,P
36,41,1,L
42,50,0,L
19,9,0,L
48,27,1,P
48,21,1,L
24,2,0,P
25,42,0,L
52,45,0,L
51,39,1,P
35,32,0,P
47,41,1,P
38,13,1,P
53,4,0,L
22,31,0,L
34,15,1,L
21,41,0,L
52,0,0,P
20,45,0,P
23,40,1,P
32,12,1,L
47,33,0,P
47,12,1,L
41,25,1,L
55,30,1,L
47,27,1,L
31,20,0,L
18,46,1,L
60,15,1,P
39,12,0,L
41,49,0,P
28,27,0,L
51,18,1,P
42,46,1,L
29,41,1,L
19,26,0,L
57,6,0,L
38,14,1,L
36,33,1,L
24,18,1,P
45,16,0,P
40,23,1,P
31,4,1,P
27,31,0,L
29,41,0,P
53,29,0,P
53,45,1,L
20,40,1,P
21,18,1,P
38,12,0,P
47,30,0,L
40,4,0,L
48,43,0,L
36,20,0,P
24,45,0,L
46,42,1,L
56,27,1,L
52,46,1,P
41,8,0,L
48,36,1,L
22,6,1,L
48,8,0,P
53,25,1,P
25,7,1,L
22,47,0,L
55,31,0,L
27,8,1,P
35,10,1,L
56,8,1,L
52,47,0,P
49,36,1,P
46,45,1,P
